cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"4146","17723","829050","1056684","The Bank, National Association","Mcalester","OK","74501","3/31/2020","6/2/2020","N","2nd &carl Albert Pkwy.","NBM CORP","4","0","","4","1","Pittsburg","","","5/17/1927","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://thebankna.com","4105","593","3512","91","702","0","282","","420","2404","1316","312","776","1719","0","0","1719","0","1719","0","1719","91","1274","0","1719"
"26677","11705","859655","1138209","The Bankers Bank","Oklahoma City","OK","73120","3/31/2020","6/2/2020","SM","9020 N. May Ave, # 200","BANKERS BCORP OF OKLAHOMA INC","2","0","","4","0","Oklahoma","36420","Oklahoma City, OK","5/28/1986","5/28/1986","8/31/2017","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","0","http://www.tbb.bank","2470","675","1795","90","2464","0","1200","","1264","4099","1587","218","2294","70","0","21","49","0","49","0","49","38","0","0","49"
"27219","0","1187551","1248005","The Bankers' Bank of Kentucky, Inc.","Frankfort","KY","40602","3/31/2020","6/2/2020","SM","107 Progress Dr. 40601","INDEPENDENT CMTY BCORP INC","1","0","","7","0","Franklin","","","4/12/1988","4/12/1988","12/31/2017","Stock","0","0","FED","DIF","Chicago","CHICAGO","Lexington","St. louis","Central","Southeast","0","0","http://www.bbky.com","901","489","412","21","578","0","135","","443","670","405","83","182","299","0","72","227","0","227","0","227","0","0","0","227"
"12432","0","1000856","2366652","The Baxter State Bank","Baxter Springs","KS","66713","3/31/2020","6/2/2020","NM","1401 Military Ave.","BAXTER BANCSHARES INC","1","0","","8","1","Cherokee","","","1/1/1905","1/1/1934","2/5/2020","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","Western","0","1","http://www.baxterstatebank.com","274","9","265","5","45","0","29","0","16","284","155","27","102","21","2","-14","37","0","37","0","37","3","120","0","35"
"17410","17903","1008151","1056648","The Bendena State Bank","Bendena","KS","66008","3/31/2020","6/2/2020","NM","933 Friendship Rd.","BENDENA BANCSHARES INC","2","0","","2","1","Doniphan","41140","St. Joseph, MO-KS","1/1/1904","3/17/1955","8/1/2011","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","www.bendenastatebank.com","703","90","613","0","59","0","33","0","26","417","220","45","152","255","-1","11","243","0","243","0","243","1","163","0","243.96"
"16402","13539","1016259","1051906","The Bennington State Bank","Salina","KS","67401","3/31/2020","6/2/2020","NM","2130 S. Ohio St.","BERCO INC","7","0","","2","1","Saline","","","1/1/1884","4/4/1946","11/4/2015","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","www.bsbks.com","7731","1771","5960","300","1196","174","312","","710","2999","1786","406","807","3857","0","133","3724","0","3724","0","3724","96","2100","0","3724"
"14316","0","208347","2983246","The Benton State Bank","Benton","WI","53803","3/31/2020","6/2/2020","NM","42 W. Main St.","BSB COMMUNITY BCORP INC","3","0","","4","1","Lafayette","","","12/5/1894","5/5/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","http://bentonbank.com","824","171","653","21","92","0","19","0","73","682","364","75","243","42","0","0","42","0","42","0","42","-3","112","0","42"
"27503","14486","1396764","2728157","The Berkshire Bank","New York","NY","10016","3/31/2020","6/2/2020","NM","4 E. 39th St.","BERKSHIRE BCORP INC","12","0","","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","5/8/1989","5/8/1989","4/5/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","http://www.berkbank.com","6112","1227","4885","274","96","0","51","","45","3650","2344","837","469","1057","-698","120","239","0","239","0","239","83","0","0","790.42"
"1847","12387","443148","1210217","The Bippus State Bank","Huntington","IN","46750","3/31/2020","6/2/2020","NM","150 Hauenstein Rd.","BIPPUS STATE CORP","5","0","","2","1","Huntington","","","6/23/1911","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","http://www.bippusbank.com","2145","201","1944","229","378","0","80","","298","1484","751","263","470","609","0","0","609","0","609","0","609","-18","679","0","609"
"8672","15735","755421","","The Blue Grass Valley Bank","Blue Grass","VA","24413","3/31/2020","6/2/2020","NM","2583 Blue Grass Valley Rd.","","2","0","","8","0","Highland","","","12/2/1915","1/1/1934","1/28/2019","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","https://www.bluegrassvalleybank.com","459","72","387","8","28","0","9","","19","312","153","23","136","95","0","19","76","0","76","0","76","-6","0","0","76"
